,Name,Address,City,Province,Link
39,Nori's Beauty and Barber Cave,"19 Hawthorn Walk, Bury St. Edmunds, ENG, IP28 8UD",Bury-St.-Edmunds,England,https://getsquire.com/discover/barbershop/noris-beauty-and-barber-cave-beck-row
40,Against The Grain Barbershop,"6 High Street, Camberley, ENG, GU15 3SX",Camberley,England,https://getsquire.com/discover/barbershop/against-the-grain-barbershop-camberley
41,Brad's Barbers,"4 Duke Street, Chelmsford, ENG, CM1 1HL",Chelmsford,England,https://getsquire.com/discover/barbershop/brads-barbers-chelmsford
42,Signature Barbers,"3 Suffolk Road, Cheltenham, ENG, GL50 2AG",Cheltenham,England,https://getsquire.com/discover/barbershop/signature-barbers-cheltenham
43,CAMO - Cheltenham,"10 Ambrose Street Cheltenham, Cheltenham, ENG, GL50 3LG",Cheltenham,England,https://getsquire.com/discover/barbershop/camo-cheltenham-cheltenham
44,Mens Grooming Company,"32 Smithford Way, Coventry, ENG, CV1 1FX",Coventry,England,https://getsquire.com/discover/barbershop/mens-grooming-company-coventry
45,Barber Jase Studio 🥢,"1a Brading Road, Croydon, ENG, CR0 3BR",Croydon,England,https://getsquire.com/discover/barbershop/barber-jase-studio-croydon
46,Jeeves @ Fiftyfour,"50 High Street, Daventry, ENG, NN11 4HU",Daventry,England,https://getsquire.com/discover/barbershop/jeeves-fiftyfour-daventry
47,The Basement Barbershop,"95 Victoria Rd (Inside Oink Gallery), Devizes, ENG, SN10 1EZ",Devizes,England,https://getsquire.com/discover/barbershop/the-basement-barbershop-swindon
48,His Homme,"14A Main St, Doncaster, ENG, DN5 7RF",Doncaster,England,https://getsquire.com/discover/barbershop/his-homme-sprotbrough
49,Taylor Taylor Barbershop - Dronfield,"3 High Street, Dronfield, ENG, S18 1PX",Dronfield,England,https://getsquire.com/discover/barbershop/taylor-taylor-barbershop-dronfield-dronfield
50,Studio NINETY3,"91 Lingfield road, East Grinstead, ENG, RH19 2EL",East-Grinstead,England,https://getsquire.com/discover/barbershop/studio-ninety3-east-grinstead
51,Adams barbershop,"1A Station parade, Eastbourne, ENG, BN21 1BE",Eastbourne,England,https://getsquire.com/discover/barbershop/adams-barbershop-brentford
52,Glide Barbers,"141 High Street, Epsom, ENG, KT19 8EH",Epsom,England,https://getsquire.com/discover/barbershop/glide-barbers-epsom
53,Alpha Barbers,"52-56 High St, Esher, ENG, KT10 9QJ",Esher,England,https://getsquire.com/discover/barbershop/alpha-barbers-esher
54,CAMO - Evesham,"1 Vine Court, Evesham, ENG, WR11 4RF",Evesham,England,https://getsquire.com/discover/barbershop/camo-evesham-evesham
55,Headcase Barbers - Farnham,"11 Upper Church Lane, Farnham, ENG, GU9 7PW",Farnham,England,https://getsquire.com/discover/barbershop/headcase-barbers-farnham-england
56,Jiminy Snippit,"1A Linkway Parade, Fleet, ENG, GU52 7UH",Fleet,England,https://getsquire.com/discover/barbershop/jiminy-snippit-fleet
57,Bonds Barbershop - Fordingbridge,"17 Salisbury St, Fordingbridge, ENG, SP6 1AB",Fordingbridge,England,https://getsquire.com/discover/barbershop/bonds-barbershop-fordingbridge-fordingbridge
58,JC Barbering,"344 Old Durham Road, Gateshead, ENG, NE8 4BQ",Gateshead,England,https://getsquire.com/discover/barbershop/jc-barbering-gateshead
59,Bashcutt,"88 High Street, Gloucester, ENG, GL1 4SS",Gloucester,England,https://getsquire.com/discover/barbershop/bashcutt-gloucester
60,CAMO - Gloucester,"7 Worcester Street, Gloucester, ENG, GL1 3AJ",Gloucester,England,https://getsquire.com/discover/barbershop/camo-gloucester-gloucester
61,BLENDTAYGA,"42 Bideford Ave, Greenford, ENG, UB6 7PP",Greenford,England,https://getsquire.com/discover/barbershop/blendtayga-perivale
62,Headcase Barbers - Guildford,"2 Swan Lane, Guildford, ENG, GU1 4EQ",Guildford,England,https://getsquire.com/discover/barbershop/headcase-barbers-guildford-england
63,On Point Barbers Bradford,"40 swainhouse road, Halifax, ENG, HX1 3SE",Halifax,England,https://getsquire.com/discover/barbershop/on-point-barbers-bradford-bradford
64,Courtyard Barbers,"5, Harrogate, ENG, HG2 7PP",Harrogate,England,https://getsquire.com/discover/barbershop/courtyard-barbers-knaresborough
65,Headcase Barbers - Haslemere,"10 High Street, Haslemere, ENG, GU27 2JE",Haslemere,England,https://getsquire.com/discover/barbershop/headcase-barbers-haslemere-haslemere
66,Heritage Barbershop Henley,"52 high street, Henley-in-Arden, ENG, B95 5AN",Henley-In-Arden,England,https://getsquire.com/discover/barbershop/heritage-barbershop-henley-henley-in-arden
67,Lifestyle Barbering,"136 Hillview Avenue, Hornchurch, ENG, RM11 2DL",Hornchurch,England,https://getsquire.com/discover/barbershop/lifestyle-barbering-hornchurch
68,Wrigglers,"206 High St, Hornchurch, ENG, RM12 6QP",Hornchurch,England,https://getsquire.com/discover/barbershop/wrigglers-hornchurch
69,Teddy Edwards (Hove Station),"76 Goldstone Villas, Hove, ENG, BN3 3RU",Hove,England,https://getsquire.com/discover/barbershop/teddy-edwards-hove-station-hove
70,Hairforce1 - Ilford,"29 Green Lane, Ilford, ENG, IG1 1XG",Ilford,England,https://getsquire.com/discover/barbershop/hairforce1-ilford-ilford
71,Palmers,"25 High Street Ingatestone, Ingatestone, ENG, CM4 9DU",Ingatestone,England,https://getsquire.com/discover/barbershop/palmers-ingatestone
72,Blake Company,"5 Smalley Place, Kenilworth, ENG, CV8 1QG",Kenilworth,England,https://getsquire.com/discover/barbershop/blake-company-kenilworth
73,The dapper fox barbershop,"63 high street, Kingston upon Thames, ENG, KT1 4DG",Kingston-Upon-Thames,England,https://getsquire.com/discover/barbershop/the-dapper-fox-barbershop-kingston-upon-thames
