,Name,Address,City,Province,Link
168,Mister Barber,"227 London Road, Stockport, ENG, SK7 4HS",Stockport,England,https://getsquire.com/discover/barbershop/mister-barber-hazel-grove
169,Stig Shop - Poynton,"53 park lane, Stockport, ENG, SK12 1RD",Stockport,England,https://getsquire.com/discover/barbershop/stig-shop-poynton-stockport
170,Cutthroat Jacks (Edgeley),"126 Castle Street, Stockport, ENG, SK3 9JH",Stockport,England,https://getsquire.com/discover/barbershop/cutthroat-jacks-edgeley-edgeley
171,Cutthroat Jacks Academy,"126 castle street, Stockport, ENG, SK3 9JH",Stockport,England,https://getsquire.com/discover/barbershop/cutthroat-jacks-academy-stockport
172,Guys Barber Shop,"19 Drove Road, Swindon, ENG, SN1 3AD",Swindon,England,https://getsquire.com/discover/barbershop/guys-barber-shop-swindon
173,Benny’s Barbershop,"55b Devizes Road, Swindon, ENG, SN1 4BG",Swindon,England,https://getsquire.com/discover/barbershop/bennys-barbershop-swindon
174,Fargs - Tonbridge,"8 Quarry Hill Parade, Tonbridge, ENG, TN9 2HR",Tonbridge,England,https://getsquire.com/discover/barbershop/fargs-tonbridge-tonbridge
175,Clique,"110 Kenwyn Street, Truro, ENG, TR1 3DJ",Truro,England,https://getsquire.com/discover/barbershop/clique-truro
176,THE P2 COLLECTIVE,"76 Camden Road, Tunbridge wells, Tunbridge Wells, ENG, TN1 2QP",Tunbridge-Wells,England,https://getsquire.com/discover/barbershop/the-p2-collective-tn1-2qp
177,Fargs - Tunbridge Wells,"10 Camden road, Tunbridge Wells, ENG, TN1 2PT",Tunbridge-Wells,England,https://getsquire.com/discover/barbershop/fargs-tunbridge-wells-tunbridge-wells
178,JAMES|MUNRO,"87 High Street, Tunbridge Wells, ENG, TN1 1YG",Tunbridge-Wells,England,https://getsquire.com/discover/barbershop/james-or-munro-tunbridge-wells
179,Headcase Barbers - Twickenham,"10 York Street, Twickenham, ENG, TW1 3LD",Twickenham,England,https://getsquire.com/discover/barbershop/headcase-barbers-twickenham-england
180,Coal House Cuts,"1 Station Approach, Upminster, ENG, RM14 2TH",Upminster,England,https://getsquire.com/discover/barbershop/coal-house-cuts-upminster
181,A’s Place,"Rear of 25 High Street, Uxbridge, ENG, UB9 6BX",Uxbridge,England,https://getsquire.com/discover/barbershop/as-place-harefield
182,Barbers of Benson,"33B High St, Wallingford, ENG, OX10 6RP",Wallingford,England,https://getsquire.com/discover/barbershop/barbers-of-benson-benson
183,NuEra Barbershop - Brownhills West,"46 Shannon Drive, Walsall, ENG, WS8 7LA",Walsall,England,https://getsquire.com/discover/barbershop/nuera-barbershop-brownhills-west-brownhills
184,FRA’n’Co,"3 Albury Grove Road, Waltham Cross, ENG, EN8 8NS",Waltham-Cross,England,https://getsquire.com/discover/barbershop/franco-cheshunt
185,Bonds Barbershop - Wareham,"49 North St, Wareham, ENG, BH20 4AD",Wareham,England,https://getsquire.com/discover/barbershop/bonds-barbershop-wareham-wareham
186,The Original Barbershop,"1 London Road, Warrington, ENG, WA4 6LF",Warrington,England,https://getsquire.com/discover/barbershop/the-original-barbershop-warrington
187,KEM Hair & Beauty Salon,"2-4 Walsall Road, Wednesbury, ENG, WS10 9JL",Wednesbury,England,https://getsquire.com/discover/barbershop/kem-hair-and-beauty-salon-darlaston
188,KEM Hair & Cosmetics,"19 Spring Head, Wednesbury, ENG, WS10 9AD",Wednesbury,England,https://getsquire.com/discover/barbershop/kem-hair-and-cosmetics-wednesbury
189,Kem & Reuben Unisex Salon,"8 Walsall Road, Wednesbury, ENG, WS10 9JL",Wednesbury,England,https://getsquire.com/discover/barbershop/kem-and-reuben-unisex-salon-darlaston
190,Ikonmanuk,"ONE . 18 Park Road, Wellingborough, ENG, NN8 4PG",Wellingborough,England,https://getsquire.com/discover/barbershop/ikonmanuk-wellingborough
191,Calista Beauty (Romford),"Unit 28, Mercury Shopping Centre (Opposite Wilkinson), Wickford, ENG, SS11 8LR",Wickford,England,https://getsquire.com/discover/barbershop/calista-beauty-romford-romford
192,Stigshop - Wilmslow,"108 Chapel Lane, Wilmslow, ENG, SK9 5JH",Wilmslow,England,https://getsquire.com/discover/barbershop/stigshop-wilmslow-wilmslow
193,Bonds Barbershop - Winchester,"37 Jewry St, Winchester, ENG, SO23 8RY",Winchester,England,https://getsquire.com/discover/barbershop/bonds-barbershop-winchester-winchester
194,Headcase Barbers - Windsor,"14 High Street, Windsor, ENG, SL4 1LD",Windsor,England,https://getsquire.com/discover/barbershop/headcase-barbers-windsor-windsor
195,Murray’s Barber Co,"75 Victoria Street, Windsor, ENG, SL4 1EH",Windsor,England,https://getsquire.com/discover/barbershop/murrays-barber-co-windsor
196,Headcase Barbers - Woking,"22 Chertsey Road, Woking, ENG, GU21 5AB",Woking,England,https://getsquire.com/discover/barbershop/headcase-barbers-woking-england
197,W.J.D Barbering,"45 Chapel Ash, Wolverhampton, ENG, WV3 0UF",Wolverhampton,England,https://getsquire.com/discover/barbershop/w-j-d-barbering-wolverhampton
198,CAMO - St. Johns,"53 St Johns, Worcester, ENG, WR2 5AG",Worcester,England,https://getsquire.com/discover/barbershop/camo-st-johns-st-johns
199,Teddy Edwards (Worthing),"43 Brighton Rd, Worthing, ENG, BN11 3EF",Worthing,England,https://getsquire.com/discover/barbershop/teddy-edwards-worthing-worthing
200,luxe.,"3 St. Johns House, Yeovil, ENG, BA21 5NH",Yeovil,England,https://getsquire.com/discover/barbershop/luxe-yeovil
201,King of Cuts - Fishergate York,"36 Fishergate, York, ENG, YO10 4AB",York,England,https://getsquire.com/discover/barbershop/king-of-cuts-fishergate-york-york
202,York,"20b Walmgate, York, ENG, YO1 9TL",York,England,https://getsquire.com/discover/barbershop/york-york
203,King of Cuts - Osbaldwick York,"173 Osbaldwick Lane, York, ENG, YO10 3BA",York,England,https://getsquire.com/discover/barbershop/king-of-cuts-osbaldwick-york-york
204,YFB HQ,"8 Tower Street, York, ENG, YO1 9SA",York,England,https://getsquire.com/discover/barbershop/yfb-hq-york
205,Cads for Men,"35 Fossgate, York, ENG, YO1 9TF",York,England,https://getsquire.com/discover/barbershop/cads-for-men-york
206,Courtyard Barbers,"23 Lendal, York, ENG, YO1 8AQ",York,England,https://getsquire.com/discover/barbershop/courtyard-barbers-york
207,The Barberhood,"131 Shore Road, Antrim, NIR, BT41 3NR",Antrim,Northern-Ireland,https://getsquire.com/discover/barbershop/the-barberhood-newtownabbey
208,EMG male grooming,"Unit 2 orpen shopping centre, Belfast, NIR, BT7 1NH",Belfast,Northern-Ireland,https://getsquire.com/discover/barbershop/emg-male-grooming-belfast
209,JFH Social - Lisburn Road,"214-316 Lisburn Rd., Belfast, NIR, BT9 6GD",Belfast,Northern-Ireland,https://getsquire.com/discover/barbershop/jfh-social-lisburn-road-belfast
210,Bespoke Barbershop - North Belfast,"4 Westland Road, Belfast, NIR, BT14 6NH",Belfast,Northern-Ireland,https://getsquire.com/discover/barbershop/bespoke-barbershop-north-belfast-belfast
211,Belmont Barbers,"33 Belmont Road, Belfast, NIR, BT4 2AA",Belfast,Northern-Ireland,https://getsquire.com/discover/barbershop/belmont-barbers-belfast
212,Bespoke Barbershop - Belfast City Centre,"17 Linenhall Street, Belfast, NIR, BT2 8BG",Belfast,Northern-Ireland,https://getsquire.com/discover/barbershop/bespoke-barbershop-belfast-city-centre-belfast
213,JFH Social - Ormeau Road,"397 Ormeau Rd, Ormeau, Belfast, NIR, BT7 3GP",Belfast,Northern-Ireland,https://getsquire.com/discover/barbershop/jfh-social-ormeau-road-belfast
214,Bespoke Barbershop- Glengormley,"4 Hightown Rd, Newtownabbey, NIR, BT36 7UA",Newtownabbey,Northern-Ireland,https://getsquire.com/discover/barbershop/bespoke-barbershop-glengormley-glengormley
215,The 33rd Barbershop,"398 George Street, Aberdeen, SCT, AB25 1HD",Aberdeen,Scotland,https://getsquire.com/discover/barbershop/the-33rd-barbershop-aberdeen
216,Sovereign Grooming - Aberdeen,"520 Union Street, Aberdeen, SCT, AB10 1TT",Aberdeen,Scotland,https://getsquire.com/discover/barbershop/sovereign-grooming-aberdeen-aberdeen
217,Downtown Barbers,"2 Callander Road, Airdrie, SCT, ML6 8HA",Airdrie,Scotland,https://getsquire.com/discover/barbershop/downtown-barbers-falkirk
218,barbarossacuttingstudio,"113-115 Morrison Street, Edinburgh, SCT, EH3 8BX",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/barbarossacuttingstudio-edinburgh-city
219,Rag & Bone Barbershop - Jeffrey,"6 Jeffrey St, Edinburgh, SCT, EH1 1DT",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/rag-and-bone-barbershop-jeffrey-edinburgh
220,Rag & Bone Barbershop - Bruntsfield,"107 Bruntsfield Pl, Edinburgh, Edinburgh, SCT, EH10 4EQ",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/rag-and-bone-barbershop-bruntsfield-edinburgh
221,Sovereign Grooming - Edinburgh,"6 Sibbald Walk, Edinburgh, SCT, EH8 8FT",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/sovereign-grooming-edinburgh-edinburgh
222,Connoisseurs Barbershop - Leith,"106 Duke Street, Edinburgh, SCT, EH6 8HL",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/connoisseurs-barbershop-leith-edinburgh
223,Trim2Fresh,"137 Great Junction Street, Edinburgh, SCT, EH6 5JB",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/trim2fresh-edinburgh
224,Brazen Men’s Hair,"88 Brunswick street, Edinburgh, SCT, EH7 5HU",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/brazen-mens-hair-edinburgh
225,Half-Cut Barbershop,"23 Candlemaker Row, Edinburgh, SCT, EH1 2QG",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/half-cut-barbershop-edinburgh
226,Rag & Bone Barbershop - Dundas,"103 Dundas St., Edinburgh, SCT, EH3 6SD",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/rag-and-bone-barbershop-dundas-edinburgh
227,Rag & Bone Barbershop - Morrison,"208 Morrison Street, Edinburgh, SCT, EH3 8EA",Edinburgh,Scotland,https://getsquire.com/discover/barbershop/rag-and-bone-barbershop-morrison-edinburgh
228,EXSTUDIO,"22 milnpark street, Glasgow, SCT, G41 1BB",Glasgow,Scotland,https://getsquire.com/discover/barbershop/exstudio-glasgow
229,Mohair,"87 Saltmarket, Glasgow, SCT, G1 5LE",Glasgow,Scotland,https://getsquire.com/discover/barbershop/mohair-glasgow
230,Safe Hands Barbers - Parnie Street,"61 Parnie Street, Glasgow, SCT, G1 5LU",Glasgow,Scotland,https://getsquire.com/discover/barbershop/safe-hands-barbers-parnie-street-glasgow
231,Chris Crook Hairdressing for Men,"37a Ardconnel terrace, Inverness, SCT, IV2 3AE",Inverness,Scotland,https://getsquire.com/discover/barbershop/chris-crook-hairdressing-for-men-inverness
232,Stags barbershop,"1 Carsegate Rd N, Inverness, SCT, IV3 8EA",Inverness,Scotland,https://getsquire.com/discover/barbershop/stags-barbershop-inverness
233,Downtown Barbers - Stenny,"1A Tryst Road, Larbert, SCT, FK5 4QQ",Larbert,Scotland,https://getsquire.com/discover/barbershop/downtown-barbers-stenny-falkirk
234,A.L BARBERS,"Space2B @ the Maltings, First Floor, house 1., Dinas Powys, WLS, CF64 4DH",Dinas-Powys,Wales,https://getsquire.com/discover/barbershop/a-l-barbers-cardiff
235,Freestyle Barbers,"64A Portfield, Haverfordwest, WLS, SA61 1BW",Haverfordwest,Wales,https://getsquire.com/discover/barbershop/freestyle-barbers-haverfordwest
236,Rogues & Gentlemen barbers,"41 High street, Menai Bridge, WLS, LL59 5EF",Menai-Bridge,Wales,https://getsquire.com/discover/barbershop/rogues-and-gentlemen-barbers-menai-bridge
237,MOLISANO ltd,"26, Queen Street, Pembroke Dock, WLS, SA72 6JE",Pembroke-Dock,Wales,https://getsquire.com/discover/barbershop/molisano-ltd-pembroke-dock
